#      Well:Breaker-1
#	Permit:TL/1
#	Operator:Apache Energy LTD.
#	Data Type:LWD RECORDED
#	Depth Range:64.0- 1250.0 m MDRT
#	Total Depth:1250.0 m MDRT
#	Run:200/300
#	Log Measured From Rotary Table: Yes
#	Format:Ascii Zipped
#	Creation Date:29-01-99
#	Contractor:Sperry-Sun Drilling Services
#
#                                                                                                                                                                                                                                                                                                                                                                            
#      Remarks:
#	1. All measured depths are bit depths unless otherwise noted. All true vertical depths are bit depths unless otherwise stated.
#	2. AV/CV calculated at the MWD collar using Power Law for water based muds and is in m/min.
#	3. CNP data is processed using CNP-E algorithm using the following parameters and is based on a limestone matrix.
#        
#         MW = 1.19 SG
#         Formation Salinity = 10,000 ppm Cl
#         Mud Salinity = 34,000 ppm Cl
#         Matrix Density = 2.71 g/cc
#         Fluid Density = 1.00 g/cc 
#     
#      Curve Mnemonics:-
#	
#	SGRC – Smoothed Gamma Ray Combined, api
#	SEXP – Smoothed Extra Shallow Phase-Shift Derived Resistivity,ohm-m
#	SESP – Smoothed Shallow Phase-Shift Derived Resistivity ,ohm-m
#	SEMP – Smoothed Medium Phase-Shift Derived Resistivity ,ohm-m
#	SEDP – Smoothed Deep Phase-Shift Derived Resistivity ,ohm-m
#	SROP – Smoothed Rate of Penetration, m/hr
#	SFXE – Smoothed Resistivity Formation Exposure Time, hrs
#	SDDE – Smoothed Resistivity Data Density, samples/m
#	STEM – Smoothed Temperature from the Resistivity tool, Deg-C
#	SNLF – Smoothed Near Detector (Limestone Matrix-Fixed Hole Size), pu
#	SFLF – Smoothed Far Detector (Limestone Matrix-Fixed Hole Size), pu
#	SPLF – Smoothed Porosity (Limestone Matrix-Fixed Hole Size), pu
#	FSTP - Porosity Corrected for Salinity, Temperature and Pressure, pu
#	SBDC – Smoothed Bulk Density – Compensated, g/cc
#	SNBD – Smoothed Near Bulk Density, g/cc
#	SFBD – Smoothed Far Bulk Density, g/cc
#	SCOR – Smoothed Standoff Correction, g/cc
#	SNPE - Smoothed Near Photoelectric Effect, b/e
#	SFPE - Smoothed Far Photoelectric Effect, b/e
#	ACAL – Ultra Sonic Caliper, inches.
#	FDTU – Filtered Delta T Upper Transmitter, ft/sec
#	FDTL – Filtered Delta T Lower Transmitter, ft/sec
#
#                                                                                                                                                                                      
#	Warranty:
#	Sperry-Sun Drilling Services will use its best efforts to provide customers with accurate information and interpretation
#	that are part of, and incedental to, the services provided. However, Sperry-Sun Drilling services cannot and does not 
#	warrant the accuracy or correctness of such information and interpretation. Under no circumstances should any such 
#	information or interpretation. Under no circumstances should any such information or interpretation be relied upon as the 
#	sole basis for any drilling, completion and production procedures, and all other activities related to drilling, 
#	completion, production, or financial decision or any procedure involving any risk to the safety of any drilling venture,
#	drilling rig, its crew or any third party. The customer has full responsibility for all drilling, completion and production 
#	procedures, and all other activities relating to drilling, completion, or production operation. Sperry-Sun Drilling 
#	Services makes no warranties, either express or implied, including but not limited to the implied warranty of 
#	merchantability or fitness for a particular purpose, with respect to the services rendered. In no way shall Sperry-Sun 
#	Drilling Services be liable for any damages, resulting from the use of any information or interpretation provided by
#	Sperry-Sun Drilling Services. 
#
  DEPT              SGRC      SROP      SEXP      SESP      SEMP      SEDP      STEM      SDDE      SFXE      SNLF      SFLF      SPLF      FSTP      SNBD      SFBD      SBDC      SBD2      SCOR      SNPE      SFPE      ACAL      FDTU      FDTL   
#  m      api       m/hr      ohmm      ohmm      ohmm      ohmm      degC      ptpm       hr        pu        pu        pu        pu       g/cc      g/cc      g/cc      g/cc      g/cc      ble       ble        in       uspf      uspf   
    40.000 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    40.100 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    40.200 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    40.300 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    40.400 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    40.500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    40.600 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    40.700 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    40.800 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    40.900 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
    41.000 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
